X,Time1-30m-5aA-s2,Time1-30m-1aA-s2,Time1-30m-3aA-s2,Time1-30m-4aA-s2,Time1-30m-2aA-s2,Time2-4h-2bA-s2,Time2-4h-3bA-s2,Time2-4h-1bA-s2,Time3-8h-1aA-s2,Time3-8h-2aA-s2,Time3-8h-3aA-s2,Time4-24hf-2aA-s2,Time4-24hf-3aA-s2,Time4-24hf-1aA-s2,Time5-72h-3aA-s2,Time5-72h-1aA-s2,Time5-72h-2aA-s2,Time6-21d-1bA-s2,Time6-21d-2aA-s2,Time6-21d-3aA-s2
D49653_s_at,7.586471923,10.24369748,8.614676687,7.59316064458178,10.20052697,7.50968843554032,9.749914187,7.49209861538525,7.65166376075864,7.77618128066815,8.2918363815276,10.1514255,10.62142948,10.0938319133125,10.563234357311,9.705426778,10.35136786,11.52436754,11.554793335607,10.34306223
D63772_at,7.578768553,9.08898607,8.908080214,7.55842522302215,7.981147032,9.61419740736729,8.334889129,7.61390992929187,9.14176518706527,9.12802304232636,9.44835914228162,8.168859574,8.463169692,8.21311794915721,7.87643894635515,8.480397075,8.111793158,8.10953904,7.55149109015389,8.39917412
D63886_s_at,8.196006002,7.663478261,7.594466119,8.37530574230063,7.709160544,8.37024562491176,7.661448914,9.05179621617484,7.76768396185007,7.73488267658829,7.71537611762213,7.595663853,7.594387583,7.59358163310234,7.57626890802632,8.126499023,7.60202763,7.72642514,8.86294830317769,7.843142207
D84418_s_at,7.850386212,7.763624312,7.80564328,7.94946780501396,7.608668564,10.1872788673045,7.668763872,8.86247876519761,8.096227545131,7.95346628401761,7.99898050381751,7.741744925,7.696714277,7.75638754442924,8.84134071538035,8.974738389,8.123946373,7.737684864,7.79196701742941,7.794992911
D85844_at,7.670947365,9.343717595,8.289281152,7.58353111385672,8.629225262,8.39632540011004,7.901856844,7.58979313013931,7.54613137585215,7.53179306714559,7.5355436024962,7.856098095,7.694715841,7.71710965192042,7.53146114593226,8.398047686,7.718519022,8.759119457,7.70422241664135,9.174555571
D87840_at,7.756925424,7.927431934,7.977350879,7.67291832836725,7.921239017,7.92344119176916,7.819677969,8.05606533460132,8.32957394331097,8.4245254095052,8.6306494672786,8.388358948,8.17650553,8.63351234382879,7.9771024838969,7.752030695,8.485630583,8.063922528,7.67338914641621,7.85403336
D89983_at,7.632200302,9.15314321,8.586401531,7.54614475373535,8.411081523,10.8750373224048,8.972718356,10.3256542417543,7.55850981554578,7.53642451722509,7.61725757915097,7.585867145,8.026137952,7.61617684403312,7.52378760364151,7.555412773,7.590003456,7.612580142,7.54793181151019,7.742719002
E03229cds_s_at,8.522201932,8.278055867,8.147424721,8.06160514680431,8.290387496,10.7186847545689,8.618653545,10.8403954482323,10.9825694772202,9.96262994417549,10.715308023911,8.187041673,8.672635544,8.57389897520799,9.15131342916536,8.990867933,8.472880344,8.264486828,8.90661000616935,8.764906239
J02612mRNA_s_at,8.401647685,7.63265458,8.009961107,8.32003599153231,7.913511904,8.210810130361,7.761444156,8.22331186841406,9.4992961898035,9.07158712248187,8.87967972312612,8.089879514,8.223518794,8.72350450919562,9.50533302942724,8.845456076,8.64518272,8.184395485,8.61893483169738,8.092665701
J02679_s_at,8.572353101,7.951491515,7.97897757,7.69913758146325,7.807266405,10.0668838463059,7.932405284,9.60588107559524,9.95864336402628,9.18831037769791,9.56702351685175,7.858985323,7.956215104,8.37675407296632,8.94685977639922,9.333123658,8.101225302,7.982332427,8.8435088306818,8.092159312
